nom,nombre_chambres,etoiles,note,nombre_avis,lien,iso,ecologique,green_leader,longitude,latitude,ville,pays,continent
NH Madrid Chamberí,54,3,4.0,549,https://www.nh-hotels.fr/hotel/nh-madrid-chamberi,non,non,non,-3.698270,40.439586,Madrid,Espagne,Europe
NH Madrid Lagasca,100,4,4.0,735,https://www.nh-hotels.fr/hotel/nh-madrid-lagasca,non,non,non,-3.685109,40.427538,Madrid,Espagne,Europe
NH Madrid Las Tablas,149,4,4.0,954,https://www.nh-hotels.fr/hotel/nh-madrid-las-tablas,non,non,non,-3.664563,40.498238,Madrid,Espagne,Europe
NH Madrid Nacional,206,4,4.0,1179,https://www.nh-hotels.fr/hotel/nh-madrid-nacional,oui,oui,non,-3.692674,40.409962,Madrid,Espagne,Europe
NH Madrid Paseo de la Habana,155,4,3.5,959,https://www.nh-hotels.fr/hotel/nh-madrid-paseo-de-la-habana,non,non,non,-3.681824,40.455815,Madrid,Espagne,Europe
NH Madrid Príncipe de Vergara,155,4,4.5,1760,https://www.nh-hotels.fr/hotel/nh-madrid-principe-de-vergara,non,non,non,-3.679070,40.436659,Madrid,Espagne,Europe
NH Madrid Ribera del Manzanares,224,4,4.5,1662,https://www.nh-hotels.fr/hotel/nh-madrid-ribera-del-manzanares,oui,oui,oui,-3.721826,40.406340,Madrid,Espagne,Europe
NH Madrid Sur,62,3,4.0,492,https://www.nh-hotels.fr/hotel/nh-madrid-sur,non,non,non,-3.670035,40.398902,Madrid,Espagne,Europe
NH Madrid Ventas,199,4,4.5,1263,https://www.nh-hotels.fr/hotel/nh-madrid-ventas,oui,oui,non,-3.663996,40.435455,Madrid,Espagne,Europe
NH Madrid Zurbano,257,4,4.0,1027,https://www.nh-hotels.fr/hotel/nh-madrid-zurbano,oui,oui,oui,-3.692878,40.439051,Madrid,Espagne,Europe
NH Pozuelo Ciudad de la Imagen,76,3,4.0,502,https://www.nh-hotels.fr/hotel/nh-pozuelo-ciudad-de-la-imagen,non,non,non,-3.788100,40.397960,Madrid,Espagne,Europe
NH Villa de Coslada,78,3,3.5,251,https://www.nh-hotels.fr/hotel/nh-villa-de-coslada,non,non,non,-3.560627,40.427935,Madrid,Espagne,Europe
NH Málaga,245,4,4.0,1728,https://www.nh-hotels.fr/hotel/nh-malaga,non,non,non,-4.426307,36.718463,Malaga,Espagne,Europe
Anantara Villa Padierna Palace Benahavís Marbella Resort,132,5,4.5,1005,https://www.nh-hotels.fr/hotel/anantara-villa-padierna-palace-benahavis-marbella-resort,non,non,non,-5.0534293,36.475721,Marbella,Espagne,Europe
NH Marbella,163,4,4.0,1938,https://www.nh-hotels.fr/hotel/nh-marbella,non,non,non,-4.908249,36.510843,Marbella,Espagne,Europe
NH San Pedro de Alcántara,60,3,4.0,749,https://www.nh-hotels.fr/hotel/nh-san-pedro-de-alcantara,non,non,non,-4.989445,36.483796,Marbella,Espagne,Europe
NH Amistad Murcia,144,4,4.0,1133,https://www.nh-hotels.fr/hotel/nh-amistad-murcia,non,non,non,-1.13484,37.98937,Murcie,Espagne,Europe
NH Ourense,41,4,4.5,796,https://www.nh-hotels.fr/hotel/nh-ourense,non,non,non,-7.860176,42.342682,Ourense,Espagne,Europe
NH Oviedo Principado,89,4,4.0,1125,https://www.nh-hotels.fr/hotel/nh-oviedo-principado,non,non,non,-5.846797,43.362108,Oviedo,Espagne,Europe
